,Keywords,confidence,Date Start,Description of measure implemented,Implementing State/Province,Country,Source
547,international traveller screening - risk countries,,2020-09-03,"Additional health screening at borders, especially travellers from impacted countries. Measures taken by the government but described in public media.",,Cuba,"Government — Cuba (Government, http://www.cubadebate.cu/noticias/2020/03/09/gobierno-cubano-informa-medidas-para-enfrentar-la-covid-19-video/#anexo-1333943"
549,international travel ban - risk countries,,2020-03-24,"Only cuban resident are allowed to enter the country, with flexibility to ensure cooperation with some countries. Measures taken by the government but described in public media. Applies for 30 days.",,Cuba,"Government — Cuba (Government, http://www.cubadebate.cu/noticias/2020/03/20/gobierno-cubano-informa-nuevas-medidas-para-el-enfrentamiento-a-la-covid-19-video/#anexo-1339179"
550,hospital specialisation - partial,,2020-03-24,Increasing staff capacity.  Measures taken by the government but described in public media. ,,Cuba,"Government — Cuba (Government, http://www.cubadebate.cu/noticias/2020/03/20/gobierno-cubano-informa-nuevas-medidas-para-el-enfrentamiento-a-la-covid-19-video/#anexo-1339179"
552,economic stimulus,,2020-03-20,Strong social protection to avoid unemployment. Measures taken by the government but described in public media. ,,Cuba,"Government — Cuba (Government, http://www.cubadebate.cu/noticias/2020/03/20/gobierno-cubano-informa-nuevas-medidas-para-el-enfrentamiento-a-la-covid-19-video/#anexo-1339179"
553,international travel ban - risk countries,,2020-03-15,All non cypriots or non cyprtiots who have a residence permit,,Cyprus,"Government (Government, https://www.pio.gov.cy/coronavirus/press/pres.pdf"
555,economic stimulus,,2020-03-15,"Families, small business and vulnerable populations",,Cyprus,"Government (Government, https://www.pio.gov.cy/coronavirus/press/15032020_6.pdf"
556,international traveller screening - risk countries,,2020-03-15,International passengers,,Cyprus,"Government  (Government, https://www.pio.gov.cy/coronavirus/press/15032020_5.pdf"
559,coronavirus education activities,,2020-03-15,,,Cyprus,"Government (Government, https://www.pio.gov.cy/coronavirus/press/15032020_5.pdf"
560,state of emergency,,2020-03-15,,,Cyprus,"US Embassy of Cyprus (Government, https://cy.usembassy.gov/covid-19-information/"
561,limited nonessential business closure,,2020-03-16,"All schools and hotels (until at least 10. April). All workplaces excpet those providing basic needs and emergency services (untul at least 27. March). All non-essentials public facilites. limited in ppl allowed in places of essiatials (pharmicies, grocery stores etc)",,Cyprus,"US Embassy of Cyprus (Government, https://cy.usembassy.gov/covid-19-information/"
563,hospital specialisation - partial,,2020-03-20,"Suspension of non-emergent cases and surgeries, ban on patient vistors",,Cyprus,"Ministry of foreign affairs - Cyprus (Government, https://www.pio.gov.cy/coronavirus/en/press/20032020_12.pdf"
564,international traveller screening - risk countries,,2020-07-03,"screening passengers from China, Hong Kong, northern Iran, Italy, Japan, Singapore and South Korea more intensively.",,Cyprus,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
565,blanket curfew - no symptoms,,2020-03-23,"partial curfew will be in place for 14 days.  Individuals may only leave their residences to seek goods and services from essential personnel and businesses.  All public sector employees except for the police force, fire department, health, civil aviation, finance and similar services will be under administrative leave until March 27, 2020.  Private sector businesses except those which provide basic needs such as groceries, bakeries, gas stations, pharmacies, etc., will also be closed until at least March 27.  All business hours are restricted from 07:00 to 18:00.",,Cyprus,"US Embassy Cyprus (Government, https://cy.usembassy.gov/covid-19-information/"
567,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-23,"Public Transport Companies which have the exclusive right to carry passengers on their geographical area, will not carry any passengers who do not possess any evidence, either in hard copy or electronic form (as these are issued by the competent authorities of the Republic of Cyprus), allowing them to be transferred outside their home.",,Cyprus,"Press and Information Office Cyprus (Other organisations, https://www.pio.gov.cy/coronavirus/en/press/24032020_17.pdf"
568,international traveller screening - risk countries,,2020-12-03,Screenings at major border crossings,,Czechia,"U.S. Embassy in the Czech Republik (Government, https://cz.usembassy.gov/health-alert-u-s-embassy-prague-czech-republic/"
572,state of emergency,,2020-12-03,,,Czechia,"U.S. Embassy in the Czech Republik (Government, https://cz.usembassy.gov/health-alert-u-s-embassy-prague-czech-republic/"
573,blanket curfew - no symptoms,,2020-03-16,"Nationwide quarantine from 16 March until 24 March, except for essential needs, helping others and necessary trips to famillies",,Czechia,"U.S. Embassy in the Czech Republik (Government, https://cz.usembassy.gov/covid-19-information/"
574,international travel ban - risk countries,,2020-03-16,Borders closed from 16 March to 24 March,,Czechia,"U.S. Embassy in the Czech Republik (Government, https://cz.usembassy.gov/covid-19-information/"
576,limited nonessential business closure,,2020-03-18,"Some of the national long-distance trains have been restricted, affecting 6.6% of train journeys ",,Czechia,"Government (Government, https://www.vlada.cz/en/media-centrum/aktualne/the-government-has-decided-to-require-the-wearing-of-protective-equipment-and-reserved-time-for-senior-citizens-to-do-their-food-shopping-180465/"
577,economic stimulus,,2020-03-19,Parents can now receive care allowance until the ban on school attendance is liften and more widely than under previous legislation,,Czechia,"Government (Government, https://www.vlada.cz/en/media-centrum/aktualne/government-approves-proposal-to-extend-the-payment-of-care-allowance-during-the-state-of-emergency-the-self-employed-will-also-receive-money-180504/"
578,economic stimulus,,2020-03-19,The government has extended its COVID loan program from 600 million to 10 billion crowns and further extended financial support to self-employed persons. Also a targeted employmet support program was implemented (covering parts of companies costs after March 1st),,Czechia,"Government (Government, https://www.vlada.cz/en/media-centrum/aktualne/government-approves-proposal-to-extend-the-payment-of-care-allowance-during-the-state-of-emergency-the-self-employed-will-also-receive-money-180504/"
579,international traveller screening - risk countries,,2020-03-21,"Cross-border commuters have to present a special document, the so-called cross-border worker's passbook to monitor the frequency of border crossings",,Czechia,"Government (Government, https://www.vlada.cz/en/media-centrum/aktualne/government-approves-proposal-to-extend-the-payment-of-care-allowance-during-the-state-of-emergency-the-self-employed-will-also-receive-money-180504/"
580,hospital specialisation - partial,,2020-03-19,"The government has ordered that all acute in-patient care facilities be obliged to allocate capacity for such cases. In total, 400 beds with ventilation and another 400 beds with oxygen support should be prepared for seriously ill patients in the Czech Republic at this stage. Also a ban of patient visits, with exeptions, has been implemented",,Czechia,"Government (Government, https://www.vlada.cz/en/media-centrum/aktualne/government-approves-proposal-to-extend-the-payment-of-care-allowance-during-the-state-of-emergency-the-self-employed-will-also-receive-money-180504/"
583,international travel ban - risk countries,,2020-03-14,"The government of Denmark closed its borders to all but Danish citizens, individuals with Danish work or residency permits, and those the Danish government determines have a critical purpose of travel ",,Denmark,"U.S. Embassy in Denmark (Government, https://dk.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19-information/"
584,risk communication,,2020-03-13,All Danes should avoid all but necessary travel outside of the country.,,Denmark,"Danish Police (Government, https://politi.dk/en/corona-virus-covid-19-in-denmark/ministry-of-foreign-affairs-of-denmark-now-advises-against-all-unnecessary-travel"
586,limited nonessential business closure,,2020-03-16,All public servants who do not perform critical functions will be asked towork from home. ,,Denmark,"Danish Police (Government, https://politi.dk/en/corona-virus-covid-19-in-denmark/new-measures-against-covid-19"
592,international traveller screening - risk countries,,2020-03-14,The borders remain open for the transport of good generally; additional documents from non-Danish drivers on the purpose of their delivery will be required,,Denmark,"Danish police (Government, https://politi.dk/coronavirus-i-danmark/hvis-du-transporterer-gods-paa-vejen"
595,hospital specialisation - partial,,2020-03-19,Emergency accommodation for homeless people extended,,Denmark,"Ministry for Social Affairs and the Interior (Government, https://sim.dk/nyheder/nyhedsarkiv/2020/mar/astrid-krag-forlaenger-noedovernatning-for-hjemloese-under-coronaudbruddet/"
596,economic stimulus,,2020-02-27,Employers can receive easier reimbursements for employees that are on sick leave or absence; reimbursement rights for the employer start at day one where the employee left,,Denmark,"The Board of Labor Market and Recruitment (Government, https://star.dk/om-styrelsen/nyt/nyheder/2020/3/visse-typer-af-fravaer-covid-19-giver-udvidet-ret-arbejdsgivere-refusion-selvstaendige-erhvervsdrivende-sygedagpenge/"
597,economic stimulus,,2020-09-03,Businesses and self-employed persons can get up to 75% coverage of their personal or employee's wages,,Denmark,"Virksomhedguiden (Government, https://virksomhedsguiden.dk/erhvervsfremme/content/temaer/coronavirus_og_din_virksomhed/artikler/kompensation-til-selvstaendige/4087ea63-d8a1-4d55-91bb-5ac807afe301/"
598,economic stimulus,,2020-03-17,"The deadline for settlement of A-tax, AM-contribution and VAT is extended as a result of coronavirus / covid-19 mhb. on providing companies with better liquidity.",,Denmark,"Virksomhedguiden (Government, https://virksomhedsguiden.dk/erhvervsfremme/content/temaer/coronavirus_og_din_virksomhed/artikler/midlertidig-udskydelse-af-betalingsfrister-for-moms-am-bidrag-og-a-skat/de77aa5f-1ace-4509-b1a4-022b8a7d5638/"
599,economic stimulus,,2020-03-18,Large companies with at least 30% loss of revenue can obtain state guarantees of 70% of a new bank loan to cover loss of revenue; a similar draft for small and medium size companies is being drafted,,Denmark,"Virksomhedguiden (Government, https://virksomhedsguiden.dk/erhvervsfremme/content/temaer/coronavirus_og_din_virksomhed/artikler/garantiordning-for-nye-laan/3b45ceac-2e72-477c-9fe1-e1d119c23b49/"
600,coronavirus education activities,,2020-03-17,A hotline for the social field was set-up to clarify questions of officals on how to implement the measures set by the government,,Denmark,"Ministry of Social Affairs and the Interior (Government, https://sim.dk/nyheder/nyhedsarkiv/2020/mar/minister-opretter-ny-hotline-om-corona-paa-socialomraadet/"
602,hospital specialisation - partial,,2020-03-18,First confirmed case found 18/3/2020. Additional measures being taken by government to ensure it remains quarentined,,Djibouti,"WHO (Other organisations, http://www.emro.who.int/pdf/media/news/djibouti-joins-global-action-to-prevent-covid-19-as-first-case-is-confirmed-in-the-country.pdf?ua=1"
603,hospital specialisation - partial,,2020-01-29,"ongoing training to provide updated and standard case definitions to all relevant stakeholders.Also, in place is the development and dissemination of reporting tools to healthcare providers during the preparation phase, including the development of a database.",,Dominica,"Dominica News Online (Media, https://dominicanewsonline.com/news/homepage/health-officials-address-corona-virus-concerns-outlines-measures-to-ensure-safety/"
604,economic stimulus,,2020-01-29,the government of Dominica has sent funds to students studying in Wuhan city China – ground zero for the novel Coronavirus pandemic.,,Dominica,"Dominica News Online (Media, https://dominicanewsonline.com/news/homepage/news/update-with-video-govt-sends-cash-to-assist-dominican-students-in-wuhan-city-amid-deadly-virus-scare/"
606,coronavirus education activities,,2020-03-13,The Opposition United Workers Party (UWP) has formed a COVID-19 committee to educate the public on preventative measures in light of the coronavirus contagion.,,Dominica,"Dominica News Online (Media, https://dominicanewsonline.com/news/homepage/homepage-carousel/united-workers-party-forms-committee-to-educate-public-on-covid-19/"
608,hospital specialisation - partial,,2020-03-26,"a medical brigade from Cuba consisting of 25 nurses, 5 doctors and four lab technicians will arrive this Thursday to assist with the direct management of COVID-19.",,Dominica,"Dominica News Online (Media, https://dominicanewsonline.com/news/homepage/news/dominica-to-receive-medical-help-from-cuba-to-fight-covid-19/"
609,international travel ban - risk countries,,2020-03-26,"Commonwealth of Dominica shall suspend all commercial air and sea access to all non-Dominicans effective Thursday the 26th day of March 2020 and to all travellers, including Dominican citizens and residents Saturday, the 28th of March 2020, This order relates to all commercial aircraft as well as non-essential, service-oriented, pleasure craft,",,Dominica,"Dominica News Online (Media, https://dominicanewsonline.com/news/homepage/homepage-carousel/positive-covid-19-cases-in-dominica-increase-to-seven/"
612,coronavirus education activities,,2020-01-24,"The Ministry wishes to advise the public to exercise the usual precautionary measures for prevention of the FLU Virus as we remain in the flu season, these include proper hand washing, use of protected personal equipment (PPE), and exercising proper respiratory etiquette",,Dominica,"Dominica News Online (Media, https://dominicanewsonline.com/news/homepage/ministry-of-health-statement-on-coronavirus/"
613,coronavirus education activities,,2020-06-03,The prime minister also called on the Dominican public to cease from spreading fake news as it relates to the Coronavirus.,,Dominica,"Dominica News Online (Media, https://dominicanewsonline.com/news/homepage/homepage-carousel/pm-skerrit-calls-on-dominicans-not-to-play-partisan-politics-with-coronavirus/"
615,hospital specialisation - partial,,2020-02-15,Health practitioners have undergone training on how to prepare for the advent of the deadly coronavirus in Dominica. A two-day training began Thursday at the Dominica-China Friendship Hospital Laboratory.,,Dominica,"Dominica News Online (Media, https://dominicanewsonline.com/news/homepage/homepage-carousel/dominican-health-practitioners-undergo-training-to-face-threats-like-coronavirus/"
616,hospital specialisation - partial,,2020-11-02,prepared laboratory to be only one in carribean capable of testing for virus,,Dominica,"Dominica News Online (Media, https://dominicanewsonline.com/news/homepage/dominica-to-be-first-caribbean-country-able-to-test-for-coronavirus-according-to-health-minister/"
618,hospital specialisation - partial,,2020-06-03,a separate entrance screening for suspected coronavirus (COVID-19) cases has been put in place at the Dominca-China Friendship Hospital.,,Dominica,"Dominica News Online (Media, https://dominicanewsonline.com/news/homepage/news/separate-arrangements-in-place-for-coronavirus-hospital-entrance-screening-says-health-minister/"
619,hospital specialisation - partial,,2020-03-20,Standpipes being installed in Roseau to facilitate hand washing in view of coronavirus,,Dominica,"Dominica News Online (Media, https://dominicanewsonline.com/news/homepage/news/standpipes-being-installed-in-roseau-to-facilitate-hand-washing/"
620,international traveller screening - risk countries,,2020-02-29,,,Dominican Republic,"Ministry of Foreign Affairs - Italy  (Government, http://www.viaggiaresicuri.it/country/DOM"
621,international travel ban - risk countries,,2020-03-19,"Air, land and sea borders closed. ",,Dominican Republic,"Foreign Ministry — UK (Government, https://www.gov.uk/foreign-travel-advice/dominican-republic/coronavirus"
624,state of emergency,,2020-03-17,National state of emergency,,Dominican Republic,"Foreign Ministry — UK (Government, https://www.gov.uk/foreign-travel-advice/dominican-republic/coronavirus"
625,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-19,Individuals to limit their own movements to essential travel only,,Dominican Republic,"Foreign Ministry — UK (Government, https://www.gov.uk/foreign-travel-advice/dominican-republic/coronavirus"
628,blanket curfew - no symptoms,,2020-03-20,"Evening curfew implemented from 20 March until 3 April between the hours of 8pm and 6am. Applies to all persons in the country, except those with specific exemptions. ",,Dominican Republic,"Foreign Ministry — UK (Government, https://www.gov.uk/foreign-travel-advice/dominican-republic/coronavirus"
630,state of emergency,,2020-03-17,"National ""State of exception""",,Ecuador,"Ministry of Foreign Affairs — France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/equateur/"
631,blanket curfew - no symptoms,,2020-03-17,Stict confinement with a curfew from 9pm to 5am.,,Ecuador,"Ministry of Foreign Affairs — France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/equateur/"
632,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-17,Suspension of all inter-provincial travels and national flights.,,Ecuador,"Ministry of Foreign Affairs — France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/equateur/"
633,limited nonessential business closure,,2020-03-17,All public services are closed and economic activities are reduced to the minimum.,,Ecuador,"Ministry of Foreign Affairs — France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/equateur/"
634,international travel ban - risk countries,,2020-03-17,"Air, land and sea borders are closed to all foreigners and Ecuadorians until 3rd of april.",,Ecuador,"Ministry of Foreign Affairs — France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/equateur/"
636,blanket curfew - no symptoms,,2020-03-21,Change in curfew times: 7pm to 5am.,,Ecuador,"US Embassy (Government, https://ec.usembassy.gov/covid-19-information-ecu-2/"
637,blanket curfew - no symptoms,,2020-03-21,Curfew in Guayas province is from 4 p.m. to 5 a.m,Guayas Province,Ecuador,"US Embassy (Government, https://ec.usembassy.gov/covid-19-information-ecu-2/"
642,limited nonessential business closure,,2020-03-15,All large public events,,Egypt,"gov.uk (Government, https://www.gov.uk/foreign-travel-advice/egypt/coronavirus"
643,blanket curfew - no symptoms,,2020-03-25,two weeks the Government of Egypt will begin enforcing a nighttime curfew from 7:00 p.m. to 6:00 a.m. Anyone who violates the curfew could face a 4000 EGP fine or possible imprisonment.,,Egypt,"US Embassy Egypt (Government, https://eg.usembassy.gov/u-s-citizen-services/covid-19-information/"
646,hospital specialisation - partial,,2020-03-25,All non-health government services are currently suspended. Expiring government documents will be extended for two weeks (14. april).,,Egypt,"US Embassy Egypt (Government, https://eg.usembassy.gov/u-s-citizen-services/covid-19-information/"
648,international traveller screening - risk countries,,2020-12-03,Travellers from affected countries.,,El Salvador,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/salvador/"
649,international travel ban - risk countries,,2020-03-17,"As of 23:59 (local time) on March 17, El Salvador International Airport (SAL) will close all operations for 15 days. Only air cargo transportation, maintenance, and humanitarian missions will be allowed to continue operations at SAL.",,El Salvador,"GardaWorld (Other organisations, https://www.garda.com/crisis24/news-alerts/324426/el-salvador-new-covid-19-containment-measures-implemented-march-17-update-5"
650,state of emergency,,2020-03-14,A state of emergency was declared on March 14 ,,El Salvador,"GardaWorld (Other organisations, https://www.garda.com/crisis24/news-alerts/324426/el-salvador-new-covid-19-containment-measures-implemented-march-17-update-5"
652,blanket curfew - no symptoms,,2020-11-03,"The President of El Salvador declared a 30-day nationwide quarantine on Wednesday, March 11",,El Salvador,"GardaWorld (Other organisations, https://www.garda.com/crisis24/news-alerts/321951/el-salvador-nationwide-quarantine-declared-on-march-11-update-3"
654,international travel ban - risk countries,,2020-11-03,all foreign nationals banned from entering the country for the next 21 days,,El Salvador,"GardaWorld (Other organisations, https://www.garda.com/crisis24/news-alerts/321951/el-salvador-nationwide-quarantine-declared-on-march-11-update-3"
657,economic stimulus,,2020-11-03,"Private companies who don’t deal with food, medicine or supplies, and decide to send all of their workers home on paid time off will be eligible for government help said President",,El Salvador,"Miami Herald (Media, https://www.miamiherald.com/news/nation-world/world/americas/haiti/article241249651.html"
660,blanket curfew - no symptoms,,2020-03-18,The President of El Salvador implemented a 48-hour cordón sanitario for the entire municipality of Metapan following the first confirmed case of Covid-19.   Movement in and out of Metapan is restricted.,Metapan,El Salvador,"US Embassy (Government, https://sv.usembassy.gov/covid-19-information/"
662,international travel ban - risk countries,,2020-03-15,"Land and maritime borders closed with exeption of commercial, work materials and equipment and cargo transport flights.",,Equatorial Guinea,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS"
664,international travel ban - risk countries,,2020-03-15,All international inbound and outbound commercial flights have been suspended from 15 March.,,Equatorial Guinea,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening"
665,international travel ban - risk countries,,2020-03-15,All Equatorial Guinea diplomatic missions abroad are prohibited from issuing entry visas to Equatorial Guinea,,Equatorial Guinea,"UK Govt Travel Advice (Government, https://www.gov.uk/foreign-travel-advice/equatorial-guinea/health"
666,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-15,"Residents are restricted from movement within the country, except for justified reasons.",,Equatorial Guinea,"International SOS (Other organisations, https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening"
668,hospital specialisation - partial,,2020-03-15,The use of masks when moving around has been made obligatory.,,Equatorial Guinea,"UK Govt Travel Advice (Government, https://www.gov.uk/foreign-travel-advice/equatorial-guinea/health"
669,state of emergency,,2020-03-18,State of emergency declared,,Equatorial Guinea,"Equatorial Guinea Press and Information Office (Government, https://www.guineaecuatorialpress.com/noticia.php?id=15124"
670,risk communication,,2020-03-18,Govt urging urging those who arrived in the country from potentially infected countries in the last 30 days to go to the Health Authorities in order that they can take the necessary measures to contain the expansion of the illness. ,,Equatorial Guinea,"Equatorial Guinea Press and Information Office (Government, https://www.guineaecuatorialpress.com/noticia.php?id=15124"
671,economic stimulus,,2020-03-24,"“The Ministry of Mines and Hydrocarbons took the unanimous decision to waive its fees for services companies for a duration of three months,” said Gabriel Mbaga Obiang Lima, minister of mines and hydrocarbons. “We recognise that the oil sector continues to be the largest private sector employer in the country and want to give our local services companies the means to weather the storm and avoid any jobs being lost. ",,Equatorial Guinea,"BizCommunity (Media, https://www.bizcommunity.com/Article/67/834/201932.html"
672,economic stimulus,,2020-03-22,"Under the State of Emergency, a fund was created to mobilize sufficient economic and material resources to prevent and eliminate the virus in order to save the lives of all families in the country. The government committed to contribute 5 billion CFA francs (about $8 million) to the fund.",,Equatorial Guinea,"AA (Media, https://www.aa.com.tr/en/africa/equatorial-guinea-declares-state-of-alarm-over-covid-19/1774801"
673,economic stimulus,,2020-03-23,"The General Secretary of the Democratic Party of Equatorial Guinea, Jerónimo Osa Osa Ecoro, signed the circular announcing the creation of the Coronavirus-19 National Emergency Fund, in order to collect resources to combat the virus pandemic.",,Equatorial Guinea,"Guinea Ecuatorial Press (Media, https://www.guineaecuatorialpress.com/noticia.php?id=15158"
674,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-23,"Strengthening of quarantine measures: Unnecessary trips by citizens outside their residences within national territory are being restricted during the enforcement of the measures adopted under this Order. The Forces of Public Order, duly instructed by their superiors, will oversee the observance of these measures. ",,Equatorial Guinea,"Guinea Ecuatorial Press (Media, https://www.guineaecuatorialpress.com/noticia.php?id=15158"
677,limited nonessential business closure,,2020-03-23,"Strengthening of quarantine measures: All bars throughout the nation not providing prepared food, leisure and games rooms, both day and night, (fairs, discotheques, pubs, casinos, parks, public pools, etc.) are ordered to close. Excluded from this prohibition are public restaurants and dining rooms, which in any event must not accommodate more than ten (10) persons at any given time. The forces of public order will oversee compliance with the opening restrictions for these establishments.",,Equatorial Guinea,"Guinea Ecuatorial Press (Media, https://www.guineaecuatorialpress.com/noticia.php?id=15158"
679,risk communication,,2020-03-23,"Strengthening of quarantine measures: The leaders of urban districts, neighbourhood communities and heads of families will be responsible for demanding and supervising compliance with these instructions.",,Equatorial Guinea,"Guinea Ecuatorial Press (Media, https://www.guineaecuatorialpress.com/noticia.php?id=15158"
680,coronavirus education activities,,2020-03-23,"Strengthening of quarantine measures: In order to prevent possible contagion and spread of the virus, all citizens residing within national territory must follow the instructions provided by the new Coronavirus Response and Vigilance Technical Committee.",,Equatorial Guinea,"Guinea Ecuatorial Press (Media, https://www.guineaecuatorialpress.com/noticia.php?id=15158"
683,international traveller screening - risk countries,,2020-11-03,"""enhanced screening and quarantine measures"" for those with symtpoms, recent travel to China, or other risk factors",,Eritrea,"US Embassy (Government, https://er.usembassy.gov/health-alert-u-s-embassy-asmara-eritrea/"
684,coronavirus education activities,,2020-12-03,,,Eritrea,"Africa News (Media, https://www.africanews.com/2020/03/12/eritrea-s-coronavirus-rules-chinese-italians-iranians-to-be-quarantined/"
686,risk communication,,2020-11-03,"The Ministry of Health urges all nationals and foreigners who may have plans to travel to, and from Eritrea, to postpone their plans on their own volition.",,Eritrea,"Ministry of Health (Government, http://www.shabait.com/news/local-news/30273-ministry-of-health-timely-public-announcement"
687,risk communication,,2020-03-03,"Visitors who originate directly from, or who have transited through, high risk countries will be quarantined. ",,Eritrea,"Garda (Media, https://www.garda.com/crisis24/news-alerts/319706/eritrea-authorities-implement-quarantine-measures-due-to-covid-19-outbreak-march-3"
689,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-17,All people are restricted from internal & foreign travel unless this is for extremely urgent & unavoidable purposes.,,Eritrea,"Ministry of Health (Government, http://www.shabait.com/news/local-news/30273-ministry-of-health-timely-public-announcement"
690,risk communication,,2020-11-03,Peope from China or Italian COVID regions are recommended to work and study from home for 14 days and monitor syntoms.,,Estonia,"Ministry of Foreign Affairs - Italy  (Government, http://www.viaggiaresicuri.it/country/EST"
691,international traveller screening - risk countries,,2020-11-03,,,Estonia,"Ministry of Foreign Affairs - Italy  (Government, http://www.viaggiaresicuri.it/country/EST"
693,international travel ban - risk countries,,2020-03-17,"Only residents, nationals and family allowed in. No exit restrinctions.",,Estonia,"Ministry of Foreign Affairs - UK (Government, https://www.gov.uk/foreign-travel-advice/estonia"
695,coronavirus education activities,,2020-03-16,Health information numbers was installed,,Estonia,"Health Board (Government, https://www.terviseamet.ee/en/covid19"
696,"domestic travel limitation, domestic traveller quarantine, domestic travel ban",,2020-03-14,"The travel between the larger island and the mainland was restricted for persons, with the exception of people living there, transport, attending funerals, drivers, work",,Estonia,"Estonian Police and Border Control Board (Government, https://www.politsei.ee/en/instructions/emergency-situation/movement-between-the-larger-islands-and-the-mainland"
697,state of emergency,,2020-12-03,Provisionary until 1st May 2020,,Estonia,"Government (Government, https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may"
700,international traveller screening - risk countries,,2020-12-03,Sanitary inspections at airport and ports; filling of forms to identify origin and purpose of stay; measures per declaration of state of emergency,,Estonia,"Government (Government, https://www.valitsus.ee/en/news/government-declared-emergency-situation-estonia-until-1-may"
703,limited nonessential business closure,,2020-03-16,All non-essential public institutions need to close,,Estonia,"Government (Government, https://www.valitsus.ee/en/news/head-emergency-situation-complemented-order-closure-public-institutions"
704,international travel ban - risk countries,,2020-03-17,Estonia has temporarly suspended the issuing of Schengen visa,,Estonia,"SchengenVisaInfo (Other organisations, https://www.schengenvisainfo.com/news/coronavirus-estonia-has-temporarily-suspended-schengen-visas/"
705,economic stimulus,,2020-03-19,"2 billion EUR set for mitigating economic effects, it includes labour market support of the Estonian Unemployment Insurance Fund, sickness benefits, tax incentives, tax deferral for 18 months, temporary suspension of second pillar pension scheme payments, as well as partial compensation for direct costs of cancelled events.",,Estonia,"Government (Government, https://www.valitsus.ee/en/news/emergency-situation-government-supports-estonian-workers-and-economy-least-eur-2-billion"
706,risk communication,,2020-02-25,Not travel to China,,Eswatini,"US Embassy (Government, https://sz.usembassy.gov/covid-19-information/?_ga=2.16927161.1601748976.1584185584-1155192847.1584185584"
707,international traveller screening - risk countries,,2020-02-25,For people from China,,Eswatini,"US Embassy (Government, https://sz.usembassy.gov/covid-19-information/?_ga=2.16927161.1601748976.1584185584-1155192847.1584185584"
708,international travel ban - risk countries,,2020-03-20,Visas already issued to foreign nationals from high risk countries will be revoked.,,Eswatini,"Government (Government, http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement"
710,international travel ban - risk countries,,2020-03-17,Foreign nationals from high-risk countries will not be allowed to enter Eswatini until further notice,,Eswatini,"Government (Government, http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement"
712,international traveller screening - risk countries,,2020-03-17,Residents/Citizens returning from high risk countries will be subjected to intensive screening and are required to self isolate for a mandatory 14 days.,,Eswatini,"Government (Government, http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement"
716,international traveller screening - risk countries,,2020-03-24,Ethiopia begins screening at an Addis Ababa airport to curb the import of coronavirus.  ,Addis Ababa,Ethiopia,"AA (Media, https://www.aa.com.tr/en/africa/ethiopia-begins-airport-screening-against-china-virus/1712852"
718,coronavirus education activities,,2020-03-13,Sanitation and hygiene recommendations,,Ethiopia,"Ezega (Media, https://www.ezega.com/News/NewsDetails/7819/Ethiopia-Reports-Its-First-Case-of-Coronavirus"
721,economic stimulus,,2020-03-16,"Budget for masks, soap, and other crucial items",,Ethiopia,"Africa News (Media, https://www.africanews.com/2020/03/16/ethiopia-s-coronavirus-rules-crowd-ban-free-transport-regulate-essentials-etc/"
723,limited nonessential business closure,,2020-03-16,Courts and some government services have been suspended,,Ethiopia,"Garda (Media, https://www.garda.com/crisis24/news-alerts/324151/ethiopia-government-enacts-restrictive-measures-due-to-covid-19-march-16-update-2"
727,international travel ban - risk countries,,2020-07-03,"People who have been in China, Italy, Iran or North Korea in the 14 days before arrival can't enter the country",,Fiji,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/iles-fidji/"
728,international traveller screening - risk countries,,2020-07-03,,,Fiji,"Ministry of Foreign Affairs - France (Government, https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/iles-fidji/"
